Symbol,Risk_Contribution,Risk_Contribution_Pct
CIEINDIA.NS,7.411975756077079e-05,0.00046039346103851327
CINELINE.NS,8.456090753032917e-05,0.0005252484650199532
CINEVISTA.NS,7.117669475607255e-05,0.0004421126825349166
CIPLA.NS,2.7139212729234827e-05,0.00016857470247428266
CLEAN.NS,5.34757323947739e-05,0.00033216349228629713
CLEDUCATE.NS,8.659765219120815e-05,0.0005378996656516466
CLSEL.NS,7.710235715798742e-05,0.00047891982157509193
CLSL.NS,3.68378639247206e-05,0.0002288176894758793
CMNL.NS,4.6259642748557956e-05,0.00028734088901939307
CMRSL.NS,2.9640016016243003e-05,0.00018410839441516887
CMSINFO.NS,4.4060933094866396e-05,0.000273683645922613
CNL.NS,6.783466475486945e-05,0.0004213537268963083
COALINDIA.NS,6.813450699938114e-05,0.0004232161912817741
COASTCORP.NS,7.270058751410577e-05,0.0004515783133493078
COCHINSHIP.NS,0.00010502588346728246,0.0006523662728994349
COFFEEDAY.NS,9.032613630790264e-05,0.000561059073661106
COFORGE.NS,6.404820957430414e-05,0.0003978342327288001
COHANCE.NS,5.300962698203022e-05,0.00032926828740106927
COLPAL.NS,3.444544838045973e-05,0.00021395724593271847
COMMITTED.NS,2.0731176160841314e-05,0.00012877130549520912
COMPINFO.NS,8.976093467048633e-05,0.0005575483344655362
COMPUSOFT.NS,0.00010016867221048756,0.0006221957977777704
COMSYN.NS,2.5412883776538985e-05,0.00015785164309607325
CONCOR.NS,8.190311480291548e-05,0.0005087396361629008
CONCORDBIO.NS,2.5632889053447162e-05,0.00015921820167931532
CONFIPET.NS,8.616065498978607e-05,0.0005351852658661117
